Year,Total,Total_Male,Total_Female,White_Total,Black_Total,Hispanic_Total,API_Total,AIAN_Total,Other_notAIAN_Total
2012,16,,14,13,,,,,
2012,6,,5,6,,,,,
2012,20,8,12,16,,,,,
2012,5,,,,,,,,
2012,94,49,45,40,5,43,,,
2012,27,15,13,13,,14,,,
2012,5,,,,,,,,
2012,15,8,8,6,,5,,,
2012,27,16,12,10,,14,,,
2012,17,8,9,7,,9,,,
2012,106,54,52,44,9,46,5,,
2012,150,62,87,118,5,11,6,,8
2012,109,39,70,88,,10,6,,
2012,108,58,50,70,12,14,5,,
2012,73,41,32,40,11,6,12,,
2012,136,62,73,108,,13,6,,5
2012,21,12,9,16,,,,,
2012,42,22,20,18,,23,,,
2012,5,,,,,,,,
2012,,,,,,,,,
2012,28,19,9,21,,,,,
2012,12,7,6,11,,,,,
2012,45,16,28,38,,5,,,
2012,,,,,,,,,
2012,26,,22,22,,,,,
2012,5,,,,,,,,
2012,15,8,8,6,,5,,,
2012,48,21,27,39,,,,,
2012,10,,9,9,,,,,
2012,210,99,111,132,18,33,15,,10
2012,18,7,11,13,,,,,
2012,13,6,7,12,,,,,
2012,,,,,,,,,
2012,25,11,14,20,,,,,
2012,81,35,45,59,,10,,,
2012,451,240,211,311,25,49,24,,23
2012,31,20,11,23,,,,,
2012,25,14,11,12,,,7,,
2012,18,7,11,6,6,,,,
2012,123,54,69,84,6,14,,,10
2012,,,,,,,,,
2012,44,27,18,31,,5,,,
2012,48,29,20,34,,5,,,5
2012,,,,,,,,,
2012,24,8,16,17,,,,,
2012,,,,,,,,,
2012,13,6,6,10,,,,,
2012,10,,6,,,,,,
2012,,,,,,,,,
2012,11,,8,8,,,,,
2012,13,,9,8,,,,,
2012,96,58,38,78,,,,,
2012,15,10,6,14,,,,,
2012,12,,8,8,,,,,
2012,21,15,6,14,,,,,
2012,21,12,9,17,,,,,
2012,,,,,,,,,
2012,16,8,8,14,,,,,
2012,11,7,,9,,,,,
2012,40,24,16,37,,,,,
2012,11,8,,10,,,,,
2012,13,6,7,12,,,,,
2012,,,,,,,,,
2012,7,5,,7,,,,,
2012,9,5,5,8,,,,,
2012,53,29,24,40,,5,,,
2012,,,,,,,,,
2012,16,9,7,10,,,,,
2012,6,5,,5,,,,,
2012,10,5,5,7,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,8,5,,8,,,,,
2012,,,,,,,,,
2012,6,,,5,,,,,
2012,,,,,,,,,
2012,66,34,32,32,,21,7,,
2012,22,14,9,14,,6,,,
2012,,,,,,,,,
2012,13,6,7,,,,,,
2012,10,,6,,,7,,,
2012,17,8,8,10,,,,,
2012,80,40,40,39,,23,9,,
2012,154,74,80,107,7,15,,,12
2012,59,34,25,45,,,,,
2012,110,64,45,77,11,5,9,,5
2012,48,27,20,43,,,,,
2012,9,7,,8,,,,,
2012,39,22,17,24,,10,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,37,23,14,25,,,,,
2012,5,,,5,,,,,
2012,15,8,7,9,,,,,
2012,,,,,,,,,
2012,23,8,15,17,,,,,
2012,10,,6,,,,,,
2012,13,6,7,,,,,,
2012,14,7,7,13,,,,,
2012,5,,,5,,,,,
2012,188,108,80,128,15,13,16,,10
2012,5,,,5,,,,,
2012,11,,9,8,,,,,
2012,,,,,,,,,
2012,8,,,7,,,,,
2012,62,30,33,47,,7,,,
2012,183,90,93,140,6,19,9,,5
2012,18,13,5,8,,6,,,
2012,9,6,,,,,,,
2012,5,,,,,,,,
2012,,,,,,,,,
2012,46,22,24,31,,7,,,
2012,,,,,,,,,
2012,23,11,11,16,,,,,
2012,,,,,,,,,
2012,13,8,5,9,,,,,
2012,25,12,13,17,,,,,
2012,,,,,,,,,
2012,6,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,6,,,5,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,27,15,12,21,,,,,
2012,,,,,,,,,
2012,6,,,5,,,,,
2012,8,,,6,,,,,
2012,7,,,5,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,8,,5,8,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,71,29,42,63,,,,,
2012,,,,,,,,,
2012,27,9,18,25,,,,,
2012,,,,,,,,,
2012,13,,9,10,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,10,5,5,8,,,,,
2012,,,,,,,,,
2012,10,,7,9,,,,,
2012,,,,,,,,,
2012,5,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,17,12,5,11,,5,,,
2012,62,32,30,46,,8,,,
2012,58,23,35,49,,,5,,
2012,23,13,11,13,,6,,,
2012,22,11,12,22,,,,,
2012,,,,,,,,,
2012,7,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,19,10,9,14,,,,,
2012,,,,,,,,,
2012,25,9,16,23,,,,,
2012,,,,,,,,,
2012,5,,,,,,,,
2012,6,,,5,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,5,,,5,,,,,
2012,62,34,28,42,,9,6,,
2012,8,,6,8,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,33,15,18,25,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,30,13,17,21,,6,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,6,5,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,5,5,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,16,5,11,12,,,,,
2012,,,,,,,,,
2012,5,,,,,,,,
2012,7,,6,6,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,6,,5,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,6,,5,,,,,,
2012,7,6,,,,,,,
2012,6,,,5,,,,,
2012,,,,,,,,,
2012,9,,8,7,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,5,5,,,,,,,
2012,,,,,,,,,
2012,,,,,,,,,
2012,10,,8,8,,,,,
2013,,,,,,,,,
2013,,,,,,,,,
2013,"1,164",479,685,919,29,132,72,,8
2013,115,49,66,57,18,22,16,,
2013,44,22,22,29,,8,,,
2013,41,16,25,23,6,6,5,,
2013,37,15,22,10,8,10,9,,
2013,231,91,140,193,5,22,7,,
2013,8,,5,6,,,,,
2013,,,,,,,,,
2013,65,25,39,55,,,,,
2013,5,,,,,,,,
2013,70,27,43,59,,,,,
